1 7 71
2 16 80
3 55 119
4 42 106
5 38 102
6 49 113
7 43 107
8 2 66
9 10 74
10 45 109
11 23 87
12 40 104
13 39 103
14 63 127
15 54 118
16 23 87
17 6 70
18 31 95
19 17 81
20 6 70
21 48 112
22 22 86
23 28 92
24 49 113
25 19 83
26 18 82
27 25 89
28 57 121
29 50 114
30 59 123
31 33 97
32 32 96
33 37 101
34 31 95
35 63 127
36 33 97
37 6 70
38 19 83
39 47 111
40 37 101
41 38 102
42 47 111
43 52 116
44 58 122
45 42 106
46 29 93
47 53 117
48 57 121
49 33 97
50 26 90
51 1 65
52 27 91
53 50 114
54 21 85
55 40 104
56 17 81
57 32 96
58 36 100
59 34 98
60 57 121
61 9 73
62 4 68
63 32 96
64 2 66
65 13 77
66 61 125
67 0 64
68 16 80
69 24 88
70 8 72
71 12 76
72 25 89
73 6 70
74 12 76
75 14 78
76 16 80
77 17 81
78 20 84
79 32 96
80 20 84
81 37 101
82 22 86
83 33 97
84 38 102
85 53 117
86 55 119
87 44 108
88 19 83
89 38 102
90 62 126
91 6 70
92 4 68
93 59 123
94 36 100
95 37 101
96 55 119
97 55 119
98 22 86
99 58 122
100 45 109
101 57 121
102 52 116
103 52 116
104 1 65
105 28 92
106 18 82
107 47 111
108 34 98
109 62 126
110 16 80
111 48 112
112 15 79
113 33 97
114 42 106
115 31 95
116 59 123
117 7 71
118 18 82
119 9 73
120 6 70
121 56 120
122 11 75
123 61 125
124 37 101
125 26 90
126 33 97
127 49 113
128 11 75
129 31 95
130 23 87
131 38 102
132 10 74
133 22 86
134 41 105
135 37 101
136 27 91
137 12 76
138 12 76
139 53 117
140 0 64
141 31 95
142 12 76
143 5 69
144 1 65
145 28 92
146 38 102
147 32 96
148 33 97
149 11 75
150 16 80
151 53 117
152 36 100
153 55 119
154 34 98
155 63 127
156 18 82
157 40 104
158 13 77
159 4 68
160 47 111
161 37 101
162 1 65
163 43 107
164 6 70
165 47 111
166 58 122
167 15 79
168 38 102
169 8 72
170 22 86
171 27 91
172 23 87
173 23 87
174 7 71
175 56 120
176 19 83
177 42 106
178 15 79
179 34 98
180 36 100
181 36 100
182 37 101
183 58 122
184 30 94
185 44 108
186 56 120
187 45 109
188 25 89
189 34 98
190 23 87
191 50 114
192 19 83
193 29 93
194 39 103
195 23 87
196 42 106
197 4 68
198 57 121
199 22 86
200 34 98
201 63 127
202 13 77
203 34 98
204 43 107
205 56 120
206 62 126
207 38 102
208 31 95
209 19 83
210 53 117
211 15 79
212 23 87
213 29 93
214 15 79
215 11 75
216 36 100
217 41 105
218 52 116
219 3 67
220 19 83
221 47 111
222 32 96
223 50 114
224 5 69
225 1 65
226 11 75
227 37 101
228 29 93
229 61 125
230 41 105
231 37 101
232 9 73
233 9 73
234 34 98
235 50 114
236 13 77
237 21 85
238 6 70
239 15 79
240 58 122
241 22 86
242 2 66
243 16 80
244 9 73
245 37 101
246 18 82
247 5 69
248 54 118
249 36 100
250 44 108
251 6 70
252 19 83
253 40 104
254 24 88
255 24 88
256 5 69
257 36 100
258 53 117
259 34 98
260 22 86
261 63 127
262 42 106
263 1 65
264 55 119
265 45 109
266 15 79
267 48 112
268 17 81
269 12 76
270 12 76
271 3 67
272 42 106
273 31 95
274 53 117
275 3 67
276 52 116
277 48 112
278 3 67
279 11 75
280 15 79
281 47 111
282 0 64
283 37 101
284 35 99
285 62 126
286 39 103
287 46 110
288 50 114
289 49 113
290 19 83
291 4 68
292 43 107
293 22 86
294 3 67
295 53 117
296 54 118
297 9 73
298 26 90
299 41 105
300 43 107
301 14 78
302 1 65
303 27 91
304 41 105
305 58 122
306 63 127
307 56 120
308 52 116
309 24 88
310 63 127
311 49 113
312 27 91
313 44 108
314 16 80
315 32 96
316 44 108
317 30 94
318 59 123
319 1 65
320 53 117
321 37 101
322 62 126
323 60 124
324 19 83
325 34 98
326 26 90
327 9 73
328 54 118
329 16 80
330 31 95
331 60 124
332 17 81
333 7 71
334 45 109
335 32 96
336 4 68
337 56 120
338 42 106
339 46 110
340 7 71
341 18 82
342 4 68
343 21 85
344 36 100
345 12 76
346 54 118
347 17 81
348 56 120
349 38 102
350 59 123
351 43 107
352 37 101
353 10 74
354 6 70
355 45 109
356 40 104
357 61 125
358 36 100
359 52 116
360 18 82
361 46 110
362 61 125
363 36 100
364 24 88
365 52 116
366 18 82
367 56 120
368 57 121
369 21 85
370 52 116
371 29 93
372 33 97
373 7 71
374 46 110
375 11 75
376 60 124
377 35 99
378 3 67
379 61 125
380 51 115
381 34 98
382 11 75
383 34 98
384 36 100
385 8 72
386 17 81
387 34 98
388 50 114
389 56 120
390 3 67
391 39 103
392 37 101
393 35 99
394 19 83
395 58 122
396 4 68
397 16 80
398 8 72
399 0 64
400 38 102
401 35 99
402 35 99
403 0 64
404 11 75
405 40 104
406 19 83
407 53 117
408 31 95
409 7 71
410 37 101
411 34 98
412 24 88
413 35 99
414 58 122
415 52 116
416 56 120
417 3 67
418 0 64
419 11 75
420 18 82
421 53 117
422 50 114
423 22 86
424 13 77
425 56 120
426 56 120
427 25 89
428 40 104
429 12 76
430 20 84
431 21 85
432 55 119
433 38 102
434 23 87
435 50 114
436 9 73
437 59 123
438 57 121
439 50 114
440 49 113
441 43 107
442 35 99
443 0 64
444 31 95
445 5 69
446 26 90
447 12 76
448 39 103
449 7 71
450 20 84
451 2 66
452 2 66
453 18 82
454 39 103
455 32 96
456 32 96
457 46 110
458 43 107
459 36 100
460 16 80
461 60 124
462 54 118
463 3 67
464 19 83
465 60 124
466 29 93
467 26 90
468 2 66
469 17 81
470 13 77
471 19 83
472 2 66
473 4 68
474 54 118
475 3 67
476 4 68
477 0 64
478 12 76
479 40 104
480 42 106
481 19 83
482 38 102
483 53 117
484 3 67
485 53 117
486 58 122
487 42 106
488 52 116
489 51 115
490 33 97
491 48 112
492 61 125
493 50 114
494 36 100
495 5 69
496 60 124
497 33 97
498 14 78
499 14 78
500 22 86
501 63 127
502 55 119
503 4 68
504 35 99
505 45 109
506 50 114
507 25 89
508 36 100
509 1 65
510 52 116
511 9 73
512 28 92
513 55 119
514 3 67
515 27 91
516 31 95
517 57 121
518 58 122
519 17 81
520 35 99
521 51 115
522 27 91
523 33 97
524 46 110
525 37 101
526 46 110
527 38 102
528 9 73
529 59 123
530 37 101
531 54 118
532 22 86
533 60 124
534 38 102
